user,level,5K,5KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation
stephane_thomas,11,22:08,2017,1:36:23,2017,,,"3,917 mi",283,352 hrs,"236,557 ft"
sebpoint,11,20:46,2017,1:33:46,2015,4:24:53,2015,"1,107 mi",175,184 hrs,"133,777 ft"
flying14000,11,32:35,2017,1:52:30,2015,,,261 mi,53,46 hrs,"31,820 ft"
yann95,11,19:21,2017,1:52:05,2017,,,"2,222 mi",351,322 hrs,"94,020 ft"
bertcousseau,11,25:50,2015,2:23:56,2015,5:35:16,2015,"1,724 mi",189,330 hrs,"122,441 ft"
Petit_Puma.,11,22:45,2016,1:57:53,2017,4:38:00,2016,390 mi,80,72 hrs,"26,686 ft"
Valentin.Farigoule,10,20:35,2017,1:32:33,2017,,,845 mi,102,113 hrs,"32,172 ft"
J-M-,11,20:49,2016,1:36:05,2016,,,"1,762 mi",185,233 hrs,"90,479 ft"
BriceApp,4,21:17,2016,1:42:32,2017,,,"1,039 mi",127,139 hrs,"14,774 ft"
jgisenbart,5,20:45,2015,1:28:53,2015,3:21:29,2015,696 mi,89,105 hrs,"67,697 ft"
b5fb69ad-9a5e-49d9-8af2-cd70e5397239,11,19:20,2017,1:57:58,2017,4:15:58,2017,698 mi,233,133 hrs,"17,871 ft"
Terry053,11,17:35,2016,1:39:08,2016,,,"1,198 mi",317,157 hrs,"55,968 ft"
stev053,11,17:29,2015,1:20:28,2016,,,"1,376 mi",154,178 hrs,"34,879 ft"
ricodave,10,21:16,2015,1:49:08,2015,,,"4,302 mi",150,297 hrs,"54,675 ft"
fredericmartinr1,9,17:03,2014,1:21:25,2012,2:46:59,2017,"10,016 mi",555,810 hrs,"247,133 ft"
JulS-Works,11,19:51,2017,1:29:09,2017,,,"2,995 mi",148,271 hrs,"226,673 ft"
AmarTri,11,25:05,2015,1:45:02,2013,3:38:14,2014,"3,735 mi",164,282 hrs,"93,383 ft"
Jeandu72,11,20:32,2018,1:32:50,2016,3:29:12,2017,"1,910 mi",243,199 hrs,"67,578 ft"
triseb17,11,21:14,2017,1:35:04,2017,,,"4,385 mi",345,359 hrs,"254,846 ft"
TcharlesWeiss,11,21:48,2017,1:42:07,2015,3:47:09,2014,"3,948 mi",248,331 hrs,"137,803 ft"
Laurent1234,8,18:23,2018,1:27:02,2017,3:16:09,2017,"1,104 mi",150,152 hrs,"36,025 ft"
titi2208,11,21:54,2016,1:52:11,2016,4:16:02,2016,835 mi,122,81 hrs,"29,619 ft"
coockiejr,11,15:23,2016,1:10:29,2016,2:31:44,2017,"1,531 mi",278,183 hrs,"87,159 ft"
roufax,11,16:31,2016,1:19:53,2016,,,"1,837 mi",292,241 hrs,"60,860 ft"
lindaret,0,17:17,2012,1:17:45,2014,,,,,,
DavidDlx,7,17:10,2017,1:23:25,2017,2:58:10,2017,647 mi,95,93 hrs,"13,532 ft"
Ge5102,11,21:38,2015,1:37:17,2015,3:40:49,2016,171 mi,32,24 hrs,"4,088 ft"
MichMuch02,11,22:04,2017,1:52:20,2015,,,333 mi,57,53 hrs,"10,136 ft"
MickaelBeaudouin,11,21:23,2016,1:37:41,2017,,,968 mi,139,151 hrs,"148,108 ft"
popeye5102,11,21:57,2016,1:35:59,2016,,,119 mi,17,17 hrs,"1,643 ft"
sylvie5102,11,,,2:02:12,2015,4:28:52,2016,,,,
AnthoDvg,11,20:15,2017,1:51:59,2016,,,"5,120 mi",361,370 hrs,"299,215 ft"
littlegain,11,23:43,2017,1:58:43,2017,,,"1,695 mi",172,310 hrs,"98,039 ft"
G-C-N,11,33:49,2017,2:30:01,2018,4:23:03,2018,"4,361 mi",1393,855 hrs,"208,018 ft"
Carmelo59,11,,,1:46:35,2014,,,,,,
eliedieu,11,21:20,2015,1:34:45,2016,3:40:33,2017,689 mi,87,97 hrs,"17,345 ft"
Kevin6351,11,,,1:19:45,2013,3:14:59,2016,,,,
3c95f6d0-fff1-434c-afc1-de0f077388ae,11,31:35,2017,2:50:51,2018,,,,,,
roufax,11,16:31,2016,1:19:53,2016,,,"1,837 mi",292,241 hrs,"60,860 ft"
godillon19,11,15:55,2014,1:11:44,2014,2:42:08,2012,"2,436 mi",342,314 hrs,"79,211 ft"
ThierryVIENNEY,11,25:31,2014,2:00:00,2012,4:33:59,2013,349 mi,37,63 hrs,"73,767 ft"
sylvano81OM,11,17:51,2016,1:25:28,2016,2:57:12,2016,"1,598 mi",346,226 hrs,"25,995 ft"
olivier3059,10,18:41,2015,1:27:11,2016,3:07:58,2015,"1,153 mi",217,169 hrs,"16,155 ft"
Adrien83,11,2:29.8,2015,19:16,2015,,,"2,372 mi",743,316 hrs,"95,595 ft"
Aymeric-haute-savoie,11,18:31,2016,1:29:25,2016,,,768 mi,120,118 hrs,"78,094 ft"
olivetoutcours,11,21:28,2016,1:49:05,2015,5:13:02,2015,719 mi,190,190 hrs,"33,898 ft"
tonio42,11,,,1:30:10,2015,3:27:33,2014,,,,
rozierch,11,,,1:23:28,2015,2:56:59,2017,,,,
sellig30,11,25:53,2016,1:47:33,2016,5:18:31,2015,171 mi,22,33 hrs,"1,709 ft"
DST92,11,20:52,2016,1:31:14,2016,3:38:41,2016,582 mi,75,57 hrs,"18,911 ft"
Daniel_bbh,11,17:17,2015,1:34:30,2016,4:18:18,2016,431 mi,107,63 hrs,"10,755 ft"
ddavid34,11,16:40,2016,1:19:01,2015,2:47:10,2015,"2,056 mi",228,233 hrs,"113,064 ft"
Denis59,11,,,1:31:28,2015,3:29:43,2015,,,,
edsonis,11,16:33,2017,1:25:11,2013,,,952 mi,294,108 hrs,"32,014 ft"
AUSTIN11FR,11,23:39,2017,1:34:14,2011,3:19:32,2011,"1,059 mi",157,193 hrs,"31,847 ft"
FredericMoreno34,11,16:53,2017,1:34:21,2017,,,"1,655 mi",281,239 hrs,"111,555 ft"
Geekircblog,11,19:27,2016,1:35:53,2016,4:04:43,2016,"1,595 mi",250,212 hrs,"24,482 ft"
peter515,11,18:12,2015,1:23:18,2015,2:48:52,2015,913 mi,164,122 hrs,"41,136 ft"
boxiff,11,16:37,2009,1:19:28,2008,2:59:37,2008,"1,449 mi",318,292 hrs,"36,476 ft"
NikoNest,11,21:08,2017,1:45:10,2017,,,"2,212 mi",576,391 hrs,"47,615 ft"
laurent-74650,11,19:43,2014,1:25:52,2012,3:12:35,2012,"1,908 mi",211,242 hrs,"133,750 ft"
THIERRYQUIRET,11,17:25,2016,1:20:27,2016,2:59:49,2016,387 mi,100,48 hrs,"7,088 ft"
damros7469,11,20:55,2017,1:35:22,2014,3:09:50,2015,594 mi,83,88 hrs,"38,637 ft"
RafaelAlves2157,11,18:01,2017,1:32:55,2017,,,"1,077 mi",172,138 hrs,"25,772 ft"
Romaric-Rhum_ccap,11,20:21,2017,1:27:45,2016,3:19:30,2015,,,,
RNog4,11,21:45,2017,1:46:56,2017,,,"1,879 mi",214,299 hrs,"173,098 ft"
garenne42,11,,,1:14:57,2016,2:43:03,2017,,,,
