user,level,5K,5KYear,10K,10KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation
Matej_Klesc,11,18:05,2016,38:25,2016,1:25:53,2017,3:39:57,2016,"1,838 mi",209,260 hrs,"153,081 ft"
michal1337,11,17:25,2018,37:39,2017,1:23:58,2017,3:26:32,2015,"2,706 mi",451,396 hrs,"192,543 ft"
petoremi,11,22:01,2017,45:42,2017,1:41:30,2017,,,539 mi,136,93 hrs,"47,441 ft"
silvopavlik,11,20:39,2016,43:17,2017,1:34:07,2017,3:37:30,2017,"2,103 mi",451,377 hrs,"69,275 ft"
Vlado_S,11,18:34,2015,39:22,2017,1:24:49,2017,3:08:05,2016,"2,015 mi",339,303 hrs,"122,073 ft"
pukes08,11,24:29,2016,52:29,2017,1:53:01,2017,4:21:00,2017,"1,091 mi",154,209 hrs,"44,545 ft"
marka88,9,24:58,2016,52:20,2016,2:01:19,2016,,,"1,412 mi",304,247 hrs,"65,244 ft"
adrian.vavrek,10,16:31,2016,33:32,2014,1:13:25,2012,2:43:39,2014,"1,468 mi",158,186 hrs,"98,593 ft"
jozko.varga,11,17:33,2016,36:54,2016,1:22:51,2013,2:57:43,2016,"3,100 mi",364,427 hrs,"210,276 ft"
pover3,11,15:55,2016,34:26,2016,1:14:37,2016,2:33:13,2015,"4,258 mi",425,570 hrs,"180,592 ft"
marstraka64,11,27:00,2015,56:00,2016,2:17:00,2015,,,0 mi,0,0 hrs,0 ft
mato75,11,19:09,2017,38:39,2016,1:28:26,2016,2:58:53,2016,"1,758 mi",173,260 hrs,"127,999 ft"
miso1970,11,16:38,2015,32:25,2012,1:14:17,2014,3:22:47,2017,"9,679 mi",834,674 hrs,"360,318 ft"
MicQej,11,19:17,2014,40:09,2014,1:27:29,2014,3:25:17,2017,"1,291 mi",181,210 hrs,"113,451 ft"
Irr820830,11,20:18,2015,39:20,2013,1:25:51,2014,3:32:27,2013,,,,
miro.kozarik,11,22:30,2017,46:47,2017,1:41:03,2016,,,"3,190 mi",197,346 hrs,"84,793 ft"
orbitalll,11,18:40,2016,38:36,2016,1:24:51,2015,2:59:36,2016,"3,141 mi",182,360 hrs,"295,000 ft"
petrik.ulicny,11,24:09,2017,51:52,2017,2:01:26,2017,,,"1,306 mi",288,224 hrs,"88,154 ft"
Richard_Zvolanek,11,33:38,2012,51:57,2012,,,3:08:56,2010,0 mi,0,0 hrs,0 ft
vladolipo1969,11,25:34,2017,36:04,2014,1:19:08,2013,,,303 mi,47,40 hrs,"15,406 ft"
jvnc95,11,17:26,2016,37:47,2016,1:25:16,2017,3:14:46,2017,"1,419 mi",241,210 hrs,"35,545 ft"
lubop68,11,20:17,2016,43:26,2016,1:35:09,2016,3:31:12,2016,"4,571 mi",336,408 hrs,"199,369 ft"
LubosMisko,11,,,,,1:26:44,2017,,,"1,683 mi",239,214 hrs,"91,512 ft"
Marathonvlk,11,19:03,2017,38:31,2014,1:28:48,2014,3:16:23,2017,"2,007 mi",249,311 hrs,"111,576 ft"
PLEWOOS,11,25:23,2014,54:43,2015,2:00:36,2014,,,8 mi,12,10 hrs,79 ft
Ferciii,10,29:15,2016,54:40,2016,2:14:42,2016,,,88 mi,46,25 hrs,"1,283 ft"
a.farkas2508,11,18:36,2016,38:26,2015,1:29:08,2016,3:07:27,2016,"2,347 mi",316,392 hrs,"237,444 ft"
Primatoris,11,22:53,2015,53:34,2015,2:00:01,2015,,,114 mi,21,18 hrs,"1,510 ft"
JanManduch,11,22:07,2017,47:47,2017,1:43:20,2017,,,"1,721 mi",287,253 hrs,"77,979 ft"
Bibby81,11,22:39,2016,45:57,2016,1:52:31,2017,,,"1,226 mi",251,175 hrs,"24,344 ft"
Lubosiak,11,18:41,2017,40:21,2017,1:27:53,2017,,,"1,956 mi",356,272 hrs,"50,782 ft"
LukasZahorec,11,16:36,2015,33:54,2015,1:16:27,2016,2:37:53,2016,"1,713 mi",251,238 hrs,"56,392 ft"
M42Sn,11,18:31,2018,37:13,2018,1:25:05,2017,2:58:04,2017,"2,415 mi",531,342 hrs,"54,893 ft"
MarcelTT,11,18:59,2017,38:30,2017,1:25:54,2017,2:57:47,2017,"2,053 mi",398,281 hrs,"29,491 ft"
metelka77,11,18:30,2016,37:42,2016,1:25:29,2016,2:57:59,2016,"2,226 mi",462,400 hrs,"49,870 ft"
marekpetrik71,11,22:10,2017,44:57,2017,1:38:58,2017,4:25:11,2017,"1,745 mi",267,295 hrs,"98,970 ft"
Kostinko,11,,,36:46:00,2016,1:36:58,2014,,,0 mi,0,0 hrs,0 ft
millo91,11,20:57,2015,44:33,2016,1:43:01,2015,,,466 mi,85,70 hrs,"13,416 ft"
JSlesar,11,22:02,2015,46:21,2014,1:42:59,2013,4:00:06,2014,122 mi,32,24 hrs,"9,203 ft"
sokiman,11,23:09,2015,44:52,2015,1:40:05,2016,,,112 mi,9,30 hrs,"2,598 ft"
tomka85,11,19:50,2014,40:18,2015,1:26:49,2015,3:14:00,2015,"1,289 mi",158,203 hrs,"96,818 ft"
3da3c2ea-6214-4f9e-8a3a-dde305cfc5a5,11,21:23,2017,47:08,2017,1:44:36,2018,,,"1,180 mi",231,193 hrs,"38,535 ft"
MartinParilak,10,19:47,2017,41:44,2017,1:32:16,2017,3:28:22,2017,"2,125 mi",271,345 hrs,"82,208 ft"
poljan,11,16:21,2017,35:28,2017,1:25:50,2017,3:04:55,2017,"2,093 mi",244,254 hrs,"149,209 ft"
RobikG,11,23:54,2017,49:27,2016,1:49:14,2016,4:14:11,2017,"2,441 mi",229,343 hrs,"230,521 ft"
roman.popikcentrum.sk,11,20:48,2013,44:26,2013,2:01:24,2013,,,359 mi,69,73 hrs,"22,464 ft"
7stewik7,11,19:46,2016,42:08,2016,1:32:05,2016,3:16:39,2016,685 mi,88,96 hrs,"22,568 ft"
